CodProv,CodDist,CodPost,CodLocal,CodBairro,Provincia,Distrito,Posto,Localidade,Bairro,informal_type,count,rate
01,02,01,99,05,Niassa,Cuamba,Cidade de Cuamba,Nao Aplicavel,Mutxora,loweduc-wage,348.7391,0.161420771214095
01,02,01,99,05,Niassa,Cuamba,Cidade de Cuamba,Nao Aplicavel,Mutxora,higheduc-wage,544.176,0.251882595316101
01,02,01,99,05,Niassa,Cuamba,Cidade de Cuamba,Nao Aplicavel,Mutxora,loweduc-selfemp,769.2882,0.35608021735992
01,02,01,99,05,Niassa,Cuamba,Cidade de Cuamba,Nao Aplicavel,Mutxora,unpaidfam,269.8059,0.12488498265928
01,02,01,99,05,Niassa,Cuamba,Cidade de Cuamba,Nao Aplicavel,Mutxora,higheduc-selfemp,99.1106,0.045875296138264
01,02,01,99,05,Niassa,Cuamba,Cidade de Cuamba,Nao Aplicavel,Mutxora,employer,129.3153,0.0598561373123405
01,02,01,99,06,Niassa,Cuamba,Cidade de Cuamba,Nao Aplicavel,Rimbane,loweduc-selfemp,3274.0294,0.54464313518926
01,02,01,99,06,Niassa,Cuamba,Cidade de Cuamba,Nao Aplicavel,Rimbane,unpaidfam,1846.8744,0.307232263557799
01,02,01,99,06,Niassa,Cuamba,Cidade de Cuamba,Nao Aplicavel,Rimbane,loweduc-wage,414.3445,0.0689272636123629
01,02,01,99,06,Niassa,Cuamba,Cidade de Cuamba,Nao Aplicavel,Rimbane,employer,119.0981,0.0198122724796192
01,02,01,99,06,Niassa,Cuamba,Cidade de Cuamba,Nao Aplicavel,Rimbane,higheduc-selfemp,128.452,0.0213683175848485
01,02,01,99,06,Niassa,Cuamba,Cidade de Cuamba,Nao Aplicavel,Rimbane,higheduc-wage,228.5312,0.0380167475761103
01,02,01,99,13,Niassa,Cuamba,Cidade de Cuamba,Nao Aplicavel,Matia,loweduc-selfemp,742.3137,0.632472299068077
01,02,01,99,13,Niassa,Cuamba,Cidade de Cuamba,Nao Aplicavel,Matia,loweduc-wage,68.6055,0.0584538293092461
